
2025/03/20 (21:42:59) | ===> btop++ v.1.4.0
2025/03/20 (21:42:59) | WARNING: Failed to join _runner thread on exit!

2025/03/25 (13:18:05) | ===> btop++ v.1.4.0
2025/03/25 (13:18:05) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (01:23:52) | ===> btop++ v.1.4.0
2025/03/26 (01:23:52) | WARNING: Failed to join _runner thread on exit!

2025/03/26 (09:36:28) | ===> btop++ v.1.4.0
2025/03/26 (09:36:28) | WARNING: Failed to join _runner thread on exit!

2025/03/27 (12:13:55) | ===> btop++ v.1.4.0
2025/03/27 (12:13:55) | WARNING: Failed to join _runner thread on exit!

2025/03/28 (10:38:03) | ===> btop++ v.1.4.0
2025/03/28 (10:38:03) | WARNING: Failed to join _runner thread on exit!

2025/03/31 (00:51:26) | ===> btop++ v.1.4.0
2025/03/31 (00:51:26) | WARNING: Failed to join _runner thread on exit!

2025/04/04 (21:07:43) | ===> btop++ v.1.4.0
2025/04/04 (21:07:43) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (12:49:53) | ===> btop++ v.1.4.0
2025/04/07 (12:49:53) | WARNING: Failed to join _runner thread on exit!

2025/04/08 (14:16:36) | ===> btop++ v.1.4.0
2025/04/08 (14:16:36) | WARNING: Failed to join _runner thread on exit!

2025/04/10 (10:51:15) | ===> btop++ v.1.4.0
2025/04/10 (10:51:15) | WARNING: Failed to join _runner thread on exit!

2025/04/11 (21:50:02) | ===> btop++ v.1.4.0
2025/04/11 (21:50:02) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (12:06:58) | ===> btop++ v.1.4.0
2025/04/14 (12:06:58) | WARNING: Failed to join _runner thread on exit!
